Reference,Target,Method,RMSE,RRMS,Diff_mean,Diff_med,Diff_std,RMSE_band_0,RMSE_band_1,RMSE_band_2,RMSE_band_3,RMSE_band_4,RMSE_band_5,RMSE_band_6,RMSE_band_7,RMSE_band_8,RRMS_band_0,RRMS_band_1,RRMS_band_2,RRMS_band_3,RRMS_band_4,RRMS_band_5,RRMS_band_6,RRMS_band_7,RRMS_band_8,Diff_mean_band_0,Diff_mean_band_1,Diff_mean_band_2,Diff_mean_band_3,Diff_mean_band_4,Diff_mean_band_5,Diff_mean_band_6,Diff_mean_band_7,Diff_mean_band_8,Diff_med_band_0,Diff_med_band_1,Diff_med_band_2,Diff_med_band_3,Diff_med_band_4,Diff_med_band_5,Diff_med_band_6,Diff_med_band_7,Diff_med_band_8,Diff_std_band_0,Diff_std_band_1,Diff_std_band_2,Diff_std_band_3,Diff_std_band_4,Diff_std_band_5,Diff_std_band_6,Diff_std_band_7,Diff_std_band_8,Slope_band_0,Slope_band_1,Slope_band_2,Slope_band_3,Slope_band_4,Slope_band_5,Slope_band_6,Slope_band_7,Slope_band_8,Intercept_band_0,Intercept_band_1,Intercept_band_2,Intercept_band_3,Intercept_band_4,Intercept_band_5,Intercept_band_6,Intercept_band_7,Intercept_band_8,Rsquared_band_0,Rsquared_band_1,Rsquared_band_2,Rsquared_band_3,Rsquared_band_4,Rsquared_band_5,Rsquared_band_6,Rsquared_band_7,Rsquared_band_8
AER,MSI,Mélin & Sclep (2015),0.000491332301105,0.08692519602883775,0.0003018353510984967,0.00010960222299935193,0.0005312396179617347,0.00014442667994067764,0.0004461844968677911,0.001092584842582224,0.0002821331850301498,,,,,,0.017145410927572137,0.05589166119745897,0.1157507095999225,0.08455536503429836,,,,,,-4.3361278737667097e-05,-0.0002230080115978119,-0.0008219115305272579,-0.00011906058353124973,,,,,,-3.3534138658075684e-05,-0.0001194148202425852,-0.0005229065204508049,-6.800451904086252e-05,,,,,,0.0001377638028834907,0.0003864557309813817,0.0007198632330010776,0.00025578059258758284,,,,,,0.999857045695,0.978070693483,0.949333921259,0.964224316325,,,,,,-4.25262494317e-05,-4.18914923397e-05,-0.000286290470723,4.37677791243e-06,,,,,,0.999740965789,0.999125077667,0.999065288306,0.999237740209,,,,,
AER,MSI,Spectral Matching,0.00120985066119,0.37303914566420987,7.028001709841192e-05,8.249655365943909e-06,0.0012107103830203414,0.0011714936040271473,0.0011851041976031432,0.0011318448899510993,0.0013509599531872805,,,,,,0.06388334367420913,0.04737524245330323,0.08076260403628778,0.26708345562480285,,,,,,0.00013167520228307694,9.429542842553928e-05,-0.00038366205990314484,-0.00012342864647507668,,,,,,1.2800097465515137e-05,2.8150039725005627e-05,-0.00011810008436441422,-9.83497011475265e-06,,,,,,0.0011640699813142419,0.0011813469463959336,0.0010648362804204226,0.0013453097781166434,,,,,,1.09945754545,1.03617336945,0.964088318352,0.911785236023,,,,,,-0.000431931282429,-0.000192988909094,-1.97572085913e-05,0.000181325402293,,,,,,0.985372819236,0.990030839697,0.995522830346,0.963591612525,,,,,
AER,MSI,Deep Neural Network,0.000258549611311,0.06000472188042233,4.6239532821346074e-05,2.6471097953617573e-06,0.0003521655162330717,8.652987163436284e-05,7.968891906875213e-05,0.0006728439060481455,0.00019513574849419063,,,,,,0.011076904810843037,0.009206024805032409,0.03299028535066239,0.11804612634750879,,,,,,-1.3694341760128736e-05,-1.5320063539547846e-05,-0.000171603518538177,1.565980346640572e-05,,,,,,-1.157016959041357e-05,-3.6746496334671974e-06,-1.544330734759569e-05,3.025765181519091e-05,,,,,,8.543935109628364e-05,7.820242899470031e-05,0.0006505929050035775,0.0001945063704624772,,,,,,0.99304387387,0.997323078749,0.974946994605,0.989526315381,,,,,,2.67356097649e-05,6.23287962688e-06,7.69546131148e-05,5.03862415084e-05,,,,,,0.999924903545,0.999957515191,0.998403604941,0.999217567376,,,,,
AER,MSI,Cubic Spline,0.000485064273279,0.6134151928312369,0.0001916387135179607,6.660016765150834e-05,0.0005132934020869179,9.809001704080398e-05,0.00044449421946976883,0.0007905985744907276,0.0006070742821164888,,,,,,0.016922518090061307,0.044732584775565354,0.051108713438597665,0.46831231176403737,,,,,,3.2577015675233555e-05,-0.0001669665920857699,-0.0002864083166114385,-0.0003457569610498677,,,,,,7.1256351022266386e-06,-0.00011055010022409774,-7.4083171237762e-05,-0.0002262441666468721,,,,,,9.252237293087983e-05,0.00041194328283066244,0.0007368964528090583,0.0004989902883752454,,,,,,0.99977542928,0.97596774614,0.958113995059,0.94556240766,,,,,,3.38717818786e-05,3.0171689557e-05,0.000133963197084,-0.00014558928482,,,,,,0.999883191922,0.999023305346,0.998482943409,0.996121341345,,,,,
AER,OLCI,Mélin & Sclep (2015),0.000570988696345,0.16479997383663442,0.00023872701589168556,1.8173671033691954e-05,0.0008005466008763112,7.476442060686527e-05,5.033206770358993e-05,5.904451227062891e-06,0.0009210068924031188,0.000902986285597702,0.0020277271355353325,0.00034534395803918706,0.00024836828583674946,0.0005624647701559861,0.004755373956795096,0.005747349176027144,0.0007603646911508089,0.11078733699991425,0.10848646839670611,0.6939383263084097,0.10710374600242503,0.15349228120465613,0.14394190295756307,1.0977169379504595e-05,-2.374925012276581e-05,-4.372183836676264e-06,-0.0005813705490546216,-0.000677139927860926,-0.0005535244392172967,-0.00019997997604542998,9.029311932003208e-05,-0.0002096771055869903,1.0792731838031719e-05,-1.8675984913850462e-05,-3.384363228345344e-06,-0.00032568484798746835,-0.0004484320274052297,-0.0001433558211218267,-0.00011545346760426066,7.716943581722425e-05,-1.613147587719728e-05,7.395417730658574e-05,4.437668484604351e-05,3.968192635327991e-06,0.0007143262423752734,0.0005973824152701807,0.0019507147488486117,0.00028155009951168734,0.00023137406512602863,0.0005219215736672401,0.99507935625,0.999892111959,0.999792644241,0.959769519616,0.96489915564,0.805051652544,0.952390361044,1.00256533436,0.902426086338,3.51162677747e-05,-2.31302163424e-05,-2.72895159567e-06,-0.000220149402799,-0.000305893507469,0.000412772534583,-3.82589955324e-05,8.29124529737e-05,0.000104838135139,0.999901124382,0.999972585863,0.999999901557,0.997403079832,0.999090761247,0.973748443503,0.999391006267,0.998444460401,0.997929383408
AER,OLCI,Spectral Matching,0.00137884670544,0.5853883840532529,0.00011977351823588833,2.5599365471862257e-05,0.001419255044311285,0.0011932799151500434,0.0011982691983191444,0.0014593658679300015,0.0011232647489299707,0.0011413258999058138,0.002347607398365388,0.0013322674894417532,0.0012914692311486037,0.0013227705997961834,0.15183343144795564,0.06798152378782402,0.056911028582807416,0.06370992313562171,0.08278188251910376,0.26265014203360226,0.28360965095688595,0.27942262499624937,0.2954593838115483,0.0002292137360200286,0.00013527213013730943,0.00016383449838031083,-9.495578524365555e-06,-0.00038965255953371525,-0.0006508396472781897,-9.572248382028192e-05,-0.00018603781063575298,-0.00027453378424979746,3.8000289350748062e-06,1.7834972823038697e-05,3.3450196497142315e-05,1.7999904230237007e-05,-0.0001420000335201621,-8.684000204084441e-05,1.800006430130452e-06,-4.913401426165365e-05,-0.00010300998110324144,0.0011710585094988346,0.00119060929864645,0.0014501402620226145,0.0011232246179133654,0.0010727514745667577,0.0022555857431143522,0.0013288242043927312,0.0012779993703588843,0.0012939679436385632,1.12002477628,1.10746233568,1.06175749697,1.00876865497,0.968191343939,0.799434894101,0.914168874011,0.898573028014,0.890332846403,-0.000333394111314,-0.000464297647017,-0.000315237702782,-8.3212078798e-05,-6.23704465186e-05,0.000362815944971,0.000186881290669,0.000133808124146,8.60747460117e-05,0.977372595772,0.984710743783,0.985519145307,0.991426915046,0.995463964991,0.955986215251,0.961996799029,0.957411448344,0.957560346936
AER,OLCI,Deep Neural Network,0.0004019666628,0.21436024793019898,0.0001028217448038049,1.5117693692445755e-06,0.0005935523076914251,1.0522935919670869e-05,1.668334316705811e-05,2.1982635972990346e-05,0.00037988867793626414,0.0007035606231904929,0.0014863114422438062,0.00015588516029112147,0.0002852855139677821,0.0005575796325151776,0.004891482493936643,0.002953473313230667,0.002739695269685476,0.0324193415599901,0.03074505237168664,0.282950650504666,0.10450220951255274,0.14635473236526722,0.24314883387421493,4.162111508776434e-06,1.917190957101411e-06,-2.3967656943568727e-06,-5.609915024251677e-05,-0.0001555576454848051,-0.000449788203695789,1.5240902939694934e-05,-6.496688001789153e-05,-0.00021790727623738348,2.8060749173164368e-06,5.569308996200562e-07,6.123445928096771e-07,7.958384230732918e-06,-4.9471273086965084e-05,-4.816717409994453e-05,1.3587079592980444e-05,-2.7231755666434765e-05,-0.00010920439672190696,9.664833669376094e-06,1.6572819731663913e-05,2.18515851884149e-05,0.0003757236700039357,0.0006861481815576553,0.0014166198670864105,0.0001551383174955845,0.00027778971707448363,0.0005132362130098045,1.0001137374,1.00039201266,0.999555539381,0.985572187781,0.98629431608,0.860828947165,1.00010614107,0.993376256372,0.971965951138,3.60288225891e-06,-3.2232686626e-07,1.12447582471e-06,6.58674093984e-05,-1.77473929488e-05,0.000225601495941,1.49031631772e-05,-4.48807383357e-05,-0.000127312944507,0.999998109074,0.99999625254,0.999996461542,0.999147290838,0.998023909969,0.984210612667,0.99943609924,0.997774444876,0.992754404037
AER,OLCI,Cubic Spline,0.00153995517197,2.857622199242744,0.00020547377733495876,3.2326395362004042e-06,0.0026746642272089524,1.3226246481052896e-05,1.44157209871324e-05,5.784289963039412e-06,0.0005318782041311918,0.0005559460458354486,0.006853980097759852,0.0006449091321284129,0.001384183510175962,0.0038552733002720275,0.5918112405470215,0.0023846052881699477,0.0005510594263467692,0.054146339193981395,0.045918687446333296,1.0895214604616499,1.060111138319616,16.483989702537926,51.50909668103879,-5.506017041358562e-06,6.567101567887393e-07,-1.5058497897735765e-06,-0.00033654658692289485,-0.00013725045258836208,-0.0042632914973596775,-0.00041324852740543824,0.000890344273986465,0.0024170839509496216,-3.2690130241132265e-06,-3.508526419666695e-07,7.566103044889978e-08,-0.0001893126297575886,-5.246624160823378e-06,-0.0024304221753424014,-0.0002936554223264365,0.0005952636328941528,0.0014784112355452363,1.2025696334010483e-05,1.4400754957599272e-05,5.584839011749342e-06,0.00041186262134402553,0.0005387377090424992,0.005366692537217763,0.0004951095265694849,0.0010598353945885,0.003003470891127819,0.998978373099,0.999719980218,0.999891782437,0.968660503565,0.974603569996,0.530922060231,0.933040178254,1.14168139822,0.983594272833,-4.7734617243e-07,2.25666640616e-06,-6.48648706558e-07,-6.28282867027e-05,0.000117645284564,-0.00019805092442,-0.000171518108904,0.0005960611613,0.00242687137566,0.999997585352,0.999997151726,0.999999768263,0.999369782963,0.999062136029,0.92320708776,0.996811835389,0.974297757284,0.691075066493
AER,OLI,Mélin & Sclep (2015),0.00109095092164,0.24806326407222593,0.0006460340065293005,0.00012463929703337593,0.0013139251457475827,7.423074911754756e-05,0.00019347977782397448,0.0017805557480606354,0.002315537411571511,,,,,,0.009249650619491812,0.026278977348242652,0.15704273594197438,0.31175426798185285,,,,,,-1.9533040813017636e-05,-4.458752847494675e-05,-0.0013135141509355698,-0.0012065013058936678,,,,,,-1.5450374347172804e-05,-5.807140188466046e-05,-0.0008200664182109957,-0.0004500645523915963,,,,,,7.161469424042301e-05,0.00018827208165660234,0.0012021062129628057,0.0019763775204307923,,,,,,1.00008997443,0.992870818042,0.906030865506,0.737579194998,,,,,,-2.00518777035e-05,9.56453907662e-06,-0.000307043373558,7.14194381925e-05,,,,,,0.999929002131,0.999726818521,0.998314573789,0.990315388283,,,,,
AER,OLI,Spectral Matching,0.00127565679146,0.34073531831680814,6.392023351509124e-05,2.0600127754732966e-06,0.001279605203308165,0.0011820527705035462,0.0012909455720784152,0.0011654204506653483,0.0014642083725961137,,,,,,0.0658072530825348,0.049957578328402,0.08093542494010168,0.2643021714787399,,,,,,0.00013185449643060565,0.00015264758258126676,-0.00039069782360456884,-0.00014948516036383808,,,,,,1.257998519577086e-05,4.4199987314641476e-05,-0.00010425003711134195,-9.459996363148093e-06,,,,,,0.001174675882793963,0.001281888922676444,0.0010979799553751945,0.0014565576566383243,,,,,,1.10338888287,1.05718573109,0.953870250255,0.903213025569,,,,,,-0.000448664786326,-0.000270445376395,6.08114689618e-05,0.000219537051117,,,,,,0.985045491623,0.987491435446,0.995270345918,0.965822895611,,,,,
